is_canceled,deposit_type,lead_time,country
0,No Deposit,29,IRL
1,No Deposit,101,PRT
0,No Deposit,27,ESP
0,No Deposit,8,CHE
0,No Deposit,82,PRT
0,No Deposit,94,PRT
0,No Deposit,110,GBR
0,No Deposit,96,GBR
0,No Deposit,79,GBR
0,No Deposit,115,PRT
0,No Deposit,111,PRT
0,No Deposit,51,USA
0,No Deposit,94,rare
0,No Deposit,81,CHE
0,No Deposit,84,PRT
0,No Deposit,51,USA
0,No Deposit,2,PRT
0,No Deposit,7,PRT
0,No Deposit,98,USA
0,No Deposit,95,rare
1,No Deposit,48,PRT
0,No Deposit,66,PRT
0,No Deposit,104,PRT
0,No Deposit,28,PRT
0,No Deposit,34,PRT
0,No Deposit,98,ESP
0,No Deposit,104,PRT
0,No Deposit,68,PRT
1,No Deposit,86,PRT
0,No Deposit,258,GBR
0,No Deposit,111,PRT
1,No Deposit,94,PRT
0,No Deposit,112,GBR
0,No Deposit,100,GBR
0,No Deposit,33,PRT
0,No Deposit,97,GBR
0,No Deposit,80,FRA
0,No Deposit,90,rare
0,No Deposit,111,GBR
0,No Deposit,65,PRT
1,No Deposit,67,PRT
0,No Deposit,55,ESP
0,No Deposit,21,PRT
0,No Deposit,0,GBR
0,No Deposit,0,PRT
0,No Deposit,8,ESP
0,No Deposit,66,PRT
0,No Deposit,88,USA
0,No Deposit,0,rare
1,No Deposit,43,PRT
1,No Deposit,88,PRT
0,No Deposit,54,IRL
1,No Deposit,292,PRT
0,No Deposit,112,IRL
0,No Deposit,68,GBR
0,No Deposit,7,PRT
0,No Deposit,1,ESP
1,No Deposit,113,PRT
0,No Deposit,5,ESP
0,No Deposit,83,PRT
1,No Deposit,105,PRT
0,No Deposit,0,PRT
1,No Deposit,1,PRT
0,No Deposit,1,CHE
1,No Deposit,102,PRT
0,No Deposit,113,PRT
1,No Deposit,280,PRT
0,No Deposit,96,GBR
0,No Deposit,394,GBR
0,No Deposit,33,PRT
0,No Deposit,82,IRL
0,No Deposit,100,rare
0,No Deposit,100,rare
0,No Deposit,17,PRT
0,No Deposit,68,ARG
0,No Deposit,12,PRT
1,No Deposit,77,PRT
1,No Deposit,24,PRT
1,No Deposit,44,PRT
0,No Deposit,78,PRT
1,No Deposit,17,PRT
1,No Deposit,103,PRT
0,No Deposit,16,rare
0,No Deposit,14,rare
0,No Deposit,77,POL
0,No Deposit,90,FRA
0,No Deposit,90,GBR
0,No Deposit,90,GBR
0,No Deposit,366,GBR
0,No Deposit,249,PRT
1,No Deposit,69,PRT
0,No Deposit,10,USA
0,No Deposit,22,PRT
0,No Deposit,91,PRT
0,No Deposit,23,PRT
0,No Deposit,11,PRT
0,No Deposit,3,PRT
0,No Deposit,13,PRT
0,No Deposit,108,PRT
0,No Deposit,37,GBR
0,No Deposit,21,rare
0,No Deposit,106,GBR
0,No Deposit,30,PRT
1,No Deposit,51,PRT
0,No Deposit,79,POL
0,No Deposit,21,PRT
0,No Deposit,35,rare
0,No Deposit,78,PRT
0,No Deposit,31,PRT
0,No Deposit,78,PRT
0,No Deposit,78,PRT
0,No Deposit,44,rare
0,No Deposit,34,GBR
0,No Deposit,87,PRT
0,No Deposit,11,PRT
0,No Deposit,115,IRL
0,No Deposit,86,PRT
0,No Deposit,41,GBR
0,No Deposit,32,rare
0,No Deposit,34,GBR
0,No Deposit,34,GBR
1,No Deposit,100,PRT
0,No Deposit,44,ESP
0,No Deposit,304,PRT
1,No Deposit,36,PRT
0,No Deposit,117,PRT
0,No Deposit,70,ESP
0,No Deposit,110,PRT
1,No Deposit,109,PRT
0,No Deposit,33,GBR
0,No Deposit,33,PRT
0,No Deposit,33,rare
0,No Deposit,0,GBR
0,No Deposit,0,DEU
0,No Deposit,0,ESP
0,No Deposit,0,ESP
0,No Deposit,84,PRT
0,No Deposit,71,ESP
0,No Deposit,16,ROU
0,No Deposit,54,PRT
0,No Deposit,8,ESP
0,No Deposit,36,PRT
0,No Deposit,40,PRT
1,No Deposit,59,PRT
0,No Deposit,79,PRT
0,No Deposit,32,PRT
0,No Deposit,110,PRT
0,No Deposit,33,PRT
0,No Deposit,53,rare
0,No Deposit,2,PRT
0,No Deposit,8,PRT
1,No Deposit,72,PRT
0,No Deposit,12,GBR
0,No Deposit,48,rare
0,No Deposit,90,PRT
0,No Deposit,34,ESP
1,No Deposit,58,PRT
0,No Deposit,59,GBR
0,No Deposit,90,PRT
0,No Deposit,116,PRT
0,No Deposit,31,GBR
1,No Deposit,51,PRT
0,No Deposit,48,GBR
0,No Deposit,59,ESP
1,No Deposit,97,PRT
0,No Deposit,12,FRA
0,No Deposit,64,PRT
0,No Deposit,31,GBR
0,No Deposit,59,GBR
1,No Deposit,55,PRT
0,No Deposit,81,GBR
0,No Deposit,1,PRT
0,No Deposit,34,BEL
0,No Deposit,13,ESP
0,No Deposit,40,FRA
0,No Deposit,1,ESP
0,No Deposit,34,BEL
0,No Deposit,88,rare
0,No Deposit,9,ESP
1,No Deposit,24,PRT
0,No Deposit,97,FRA
0,No Deposit,60,rare
0,No Deposit,100,rare
0,No Deposit,50,ESP
1,No Deposit,47,PRT
0,No Deposit,8,IRL
0,No Deposit,34,ESP
0,No Deposit,47,ESP
0,No Deposit,115,PRT
1,No Deposit,79,PRT
0,No Deposit,91,GBR
0,No Deposit,98,ESP
0,No Deposit,109,ESP
0,No Deposit,0,rare
0,No Deposit,0,PRT
0,No Deposit,9,ESP
0,No Deposit,62,ESP
1,No Deposit,45,PRT
0,No Deposit,42,USA
0,No Deposit,54,PRT
0,No Deposit,51,ESP
0,No Deposit,54,PRT
0,No Deposit,58,ESP
0,No Deposit,0,PRT
1,No Deposit,60,PRT
1,No Deposit,321,PRT
0,No Deposit,40,ESP
1,No Deposit,51,PRT
0,No Deposit,38,PRT
1,No Deposit,75,PRT
0,No Deposit,101,PRT
1,No Deposit,42,PRT
0,No Deposit,109,PRT
1,No Deposit,81,PRT
1,No Deposit,98,PRT
0,No Deposit,32,PRT
0,No Deposit,72,FRA
0,No Deposit,115,PRT
0,No Deposit,118,PRT
0,No Deposit,81,ESP
1,No Deposit,95,PRT
0,No Deposit,16,ROU
0,No Deposit,56,ESP
0,No Deposit,88,rare
0,No Deposit,41,GBR
1,No Deposit,40,PRT
0,No Deposit,1,PRT
0,No Deposit,1,PRT
0,No Deposit,1,PRT
1,No Deposit,76,PRT
0,No Deposit,0,ESP
0,No Deposit,49,POL
0,No Deposit,76,PRT
0,No Deposit,73,PRT
0,No Deposit,73,PRT
0,No Deposit,317,PRT
1,No Deposit,112,PRT
0,No Deposit,6,ESP
0,No Deposit,8,ESP
1,No Deposit,96,PRT
1,No Deposit,96,PRT
0,No Deposit,99,IRL
0,No Deposit,66,IRL
0,No Deposit,38,rare
0,No Deposit,38,rare
0,No Deposit,113,PRT
0,No Deposit,0,PRT
1,No Deposit,62,PRT
1,No Deposit,39,PRT
0,No Deposit,37,POL
1,No Deposit,58,PRT
0,No Deposit,37,GBR
0,No Deposit,57,PRT
0,No Deposit,57,PRT
0,No Deposit,57,PRT
0,No Deposit,83,GBR
0,No Deposit,57,PRT
0,No Deposit,57,PRT
1,No Deposit,57,PRT
0,No Deposit,57,PRT
0,No Deposit,57,PRT
0,No Deposit,57,PRT
0,No Deposit,57,PRT
1,No Deposit,66,PRT
0,No Deposit,13,rare
0,No Deposit,50,rare
1,No Deposit,48,PRT
1,No Deposit,0,PRT
0,No Deposit,7,USA
0,No Deposit,0,PRT
1,No Deposit,66,PRT
0,No Deposit,13,PRT
0,No Deposit,66,rare
0,No Deposit,10,ESP
1,No Deposit,10,PRT
1,No Deposit,58,PRT
1,No Deposit,17,PRT
0,No Deposit,19,ESP
0,No Deposit,10,IRL
1,No Deposit,12,PRT
0,No Deposit,10,IRL
0,No Deposit,63,PRT
1,No Deposit,35,PRT
0,No Deposit,113,PRT
1,No Deposit,35,PRT
0,No Deposit,68,GBR
0,No Deposit,113,PRT
0,No Deposit,21,PRT
0,No Deposit,7,PRT
0,No Deposit,17,PRT
0,No Deposit,1,PRT
0,No Deposit,2,PRT
1,No Deposit,15,PRT
1,No Deposit,7,PRT
0,No Deposit,11,ESP
1,No Deposit,6,PRT
0,No Deposit,1,PRT
0,No Deposit,1,ESP
0,No Deposit,48,PRT
0,No Deposit,15,PRT
1,No Deposit,3,PRT
1,No Deposit,23,PRT
0,No Deposit,53,PRT
0,No Deposit,53,PRT
0,No Deposit,94,ESP
0,No Deposit,64,PRT
0,No Deposit,53,PRT
0,No Deposit,53,PRT
0,No Deposit,24,PRT
0,No Deposit,24,PRT
0,No Deposit,23,ESP
0,No Deposit,53,IRL
1,No Deposit,23,PRT
0,No Deposit,90,PRT
0,No Deposit,79,PRT
0,No Deposit,43,GBR
0,No Deposit,65,ESP
0,No Deposit,65,ESP
0,No Deposit,99,FRA
0,No Deposit,25,ESP
0,No Deposit,92,rare
0,No Deposit,91,rare
0,No Deposit,38,PRT
0,No Deposit,6,GBR
0,No Deposit,38,ESP
0,No Deposit,13,DEU
1,No Deposit,32,PRT
0,No Deposit,315,IRL
0,No Deposit,8,GBR
1,No Deposit,0,PRT
0,No Deposit,91,rare
0,No Deposit,3,ESP
0,No Deposit,9,PRT
0,No Deposit,19,ESP
0,No Deposit,25,PRT
0,No Deposit,108,rare
1,No Deposit,37,PRT
0,No Deposit,45,PRT
0,No Deposit,64,PRT
0,No Deposit,44,PRT
0,No Deposit,26,PRT
1,No Deposit,96,PRT
1,No Deposit,123,PRT
1,No Deposit,42,PRT
0,No Deposit,59,PRT
0,No Deposit,28,GBR
0,No Deposit,106,PRT
0,No Deposit,1,PRT
0,No Deposit,0,PRT
0,No Deposit,4,PRT
0,No Deposit,3,rare
0,No Deposit,73,PRT
0,No Deposit,44,ESP
0,No Deposit,95,PRT
0,No Deposit,94,PRT
1,No Deposit,40,PRT
0,No Deposit,64,PRT
0,No Deposit,57,ESP
1,No Deposit,60,PRT
0,No Deposit,87,IRL
0,No Deposit,0,PRT
0,No Deposit,0,PRT
0,No Deposit,6,rare
0,No Deposit,0,PRT
0,No Deposit,19,PRT
0,No Deposit,4,PRT
1,No Deposit,59,PRT
0,No Deposit,44,PRT
1,No Deposit,37,PRT
0,No Deposit,66,PRT
1,No Deposit,38,PRT
1,No Deposit,62,PRT
0,No Deposit,41,ESP
1,No Deposit,60,PRT
0,No Deposit,104,GBR
0,No Deposit,117,rare
1,No Deposit,31,PRT
0,No Deposit,34,IRL
0,No Deposit,47,PRT
1,No Deposit,24,PRT
1,No Deposit,104,PRT
0,No Deposit,32,IRL
1,No Deposit,47,PRT
0,No Deposit,29,GBR
0,No Deposit,30,GBR
0,No Deposit,123,ESP
0,No Deposit,14,PRT
1,No Deposit,118,PRT
0,No Deposit,79,PRT
0,No Deposit,63,PRT
0,No Deposit,68,POL
0,No Deposit,96,PRT
1,No Deposit,41,PRT
0,No Deposit,46,NOR
1,No Deposit,60,PRT
0,No Deposit,41,ESP
1,No Deposit,69,PRT
1,No Deposit,41,PRT
0,No Deposit,52,PRT
1,No Deposit,41,PRT
0,No Deposit,89,GBR
1,No Deposit,28,PRT
0,No Deposit,65,GBR
0,No Deposit,82,PRT
0,No Deposit,42,ESP
0,No Deposit,62,ESP
1,No Deposit,86,PRT
1,No Deposit,118,PRT
0,No Deposit,28,PRT
1,No Deposit,52,PRT
1,No Deposit,49,PRT
0,No Deposit,39,PRT
0,No Deposit,39,PRT
1,No Deposit,7,PRT
1,No Deposit,42,PRT
0,No Deposit,5,PRT
1,No Deposit,81,PRT
1,No Deposit,63,PRT
0,No Deposit,61,PRT
0,No Deposit,8,PRT
0,No Deposit,89,PRT
0,No Deposit,57,IRL
0,No Deposit,102,CHE
0,No Deposit,108,PRT
0,No Deposit,28,IRL
0,No Deposit,29,GBR
0,No Deposit,0,ESP
1,No Deposit,96,PRT
1,No Deposit,44,PRT
0,No Deposit,44,FRA
1,No Deposit,44,PRT
1,No Deposit,41,PRT
0,No Deposit,3,PRT
0,No Deposit,0,PRT
1,No Deposit,55,PRT
0,No Deposit,33,ESP
1,No Deposit,19,PRT
1,No Deposit,55,PRT
0,No Deposit,33,ESP
1,No Deposit,19,PRT
1,No Deposit,19,PRT
0,No Deposit,117,rare
1,No Deposit,72,PRT
1,No Deposit,19,PRT
0,No Deposit,34,ROU
0,No Deposit,9,ESP
0,No Deposit,8,rare
1,No Deposit,36,PRT
0,No Deposit,22,ESP
0,No Deposit,22,ESP
0,No Deposit,36,PRT
1,No Deposit,22,PRT
0,No Deposit,18,ESP
1,No Deposit,67,PRT
1,No Deposit,105,PRT
0,No Deposit,1,rare
0,No Deposit,39,ESP
1,No Deposit,45,PRT
1,No Deposit,45,PRT
0,No Deposit,14,rare
1,No Deposit,53,PRT
0,No Deposit,28,rare
0,No Deposit,55,GBR
0,No Deposit,25,PRT
1,No Deposit,43,PRT
1,No Deposit,109,PRT
1,No Deposit,62,PRT
0,No Deposit,25,PRT
0,No Deposit,43,ESP
0,No Deposit,35,GBR
1,No Deposit,42,PRT
1,No Deposit,312,PRT
0,No Deposit,47,PRT
0,No Deposit,40,ESP
0,No Deposit,11,ESP
0,No Deposit,39,ESP
1,No Deposit,39,PRT
0,No Deposit,1,PRT
1,No Deposit,12,PRT
1,No Deposit,16,PRT
1,No Deposit,16,PRT
0,No Deposit,12,ESP
0,No Deposit,51,PRT
0,No Deposit,67,GBR
0,No Deposit,52,PRT
0,No Deposit,25,ESP
0,No Deposit,94,ESP
1,No Deposit,54,PRT
0,No Deposit,33,PRT
0,No Deposit,47,PRT
0,No Deposit,43,IRL
1,No Deposit,87,PRT
0,No Deposit,54,PRT
0,No Deposit,32,PRT
1,No Deposit,29,PRT
1,No Deposit,96,PRT
1,No Deposit,100,PRT
0,No Deposit,75,PRT
0,No Deposit,31,PRT
1,No Deposit,25,PRT
0,No Deposit,61,GBR
0,No Deposit,60,GBR
1,No Deposit,31,PRT
1,No Deposit,107,PRT
1,No Deposit,31,PRT
0,No Deposit,115,PRT
0,No Deposit,59,IRL
1,No Deposit,85,PRT
0,No Deposit,0,PRT
1,No Deposit,299,PRT
0,No Deposit,50,PRT
1,No Deposit,50,PRT
1,No Deposit,88,PRT
1,No Deposit,116,PRT
0,No Deposit,47,ESP
0,No Deposit,48,rare
1,No Deposit,54,PRT
1,No Deposit,33,PRT
0,No Deposit,73,PRT
0,No Deposit,38,ESP
0,No Deposit,34,rare
0,No Deposit,130,PRT
1,No Deposit,39,PRT
0,No Deposit,45,GBR
1,No Deposit,48,PRT
0,No Deposit,59,PRT
1,No Deposit,48,PRT
1,No Deposit,48,PRT
1,No Deposit,48,PRT
0,No Deposit,48,PRT
0,No Deposit,96,PRT
0,No Deposit,51,ESP
0,No Deposit,96,PRT
1,No Deposit,41,PRT
0,No Deposit,6,ESP
0,No Deposit,27,PRT
0,No Deposit,28,ESP
0,No Deposit,30,PRT
0,No Deposit,45,ESP
0,No Deposit,52,PRT
0,No Deposit,31,ESP
1,No Deposit,74,PRT
0,No Deposit,31,PRT
1,No Deposit,87,PRT
0,No Deposit,48,PRT
1,No Deposit,41,PRT
0,No Deposit,35,PRT
0,No Deposit,28,PRT
0,No Deposit,77,PRT
1,No Deposit,33,PRT
0,No Deposit,30,PRT
1,No Deposit,34,PRT
1,No Deposit,298,PRT
0,No Deposit,35,ESP
0,No Deposit,40,PRT
1,No Deposit,101,PRT
1,No Deposit,101,PRT
1,No Deposit,101,PRT
0,No Deposit,38,GBR
0,No Deposit,76,GBR
0,No Deposit,70,GBR
0,No Deposit,70,USA
0,No Deposit,68,PRT
1,No Deposit,63,PRT
1,No Deposit,11,PRT
0,No Deposit,32,ESP
0,No Deposit,29,rare
0,No Deposit,47,PRT
0,No Deposit,50,PRT
1,No Deposit,29,PRT
0,No Deposit,36,ESP
0,No Deposit,49,NOR
1,No Deposit,70,PRT
0,No Deposit,110,USA
1,No Deposit,119,PRT
0,No Deposit,30,PRT
1,No Deposit,29,PRT
0,No Deposit,71,GBR
1,No Deposit,37,PRT
1,No Deposit,40,PRT
0,No Deposit,37,PRT
0,No Deposit,0,PRT
0,No Deposit,37,PRT
0,No Deposit,97,GBR
1,No Deposit,71,PRT
1,No Deposit,118,PRT
0,No Deposit,102,GBR
1,No Deposit,54,PRT
1,No Deposit,58,PRT
0,No Deposit,34,GBR
1,No Deposit,105,PRT
1,No Deposit,47,PRT
1,No Deposit,15,PRT
0,No Deposit,37,ESP
1,No Deposit,0,PRT
1,No Deposit,8,PRT
0,No Deposit,17,GBR
0,No Deposit,3,PRT
1,No Deposit,30,PRT
1,No Deposit,31,PRT
1,No Deposit,66,PRT
0,No Deposit,52,ESP
0,No Deposit,20,rare
1,No Deposit,62,PRT
1,No Deposit,65,PRT
1,No Deposit,64,PRT
0,No Deposit,77,PRT
0,No Deposit,75,CHE
1,No Deposit,62,PRT
0,No Deposit,0,PRT
1,No Deposit,25,PRT
1,No Deposit,16,PRT
0,No Deposit,16,PRT
1,No Deposit,4,PRT
0,No Deposit,4,PRT
1,No Deposit,25,PRT
1,No Deposit,83,PRT
0,No Deposit,4,PRT
1,No Deposit,56,PRT
1,No Deposit,32,PRT
0,No Deposit,32,PRT
0,No Deposit,0,PRT
1,No Deposit,18,PRT
1,No Deposit,23,PRT
1,No Deposit,39,PRT
1,No Deposit,18,PRT
1,No Deposit,23,PRT
0,No Deposit,286,IRL
0,No Deposit,72,PRT
1,No Deposit,136,PRT
0,No Deposit,58,rare
0,No Deposit,80,BEL
0,No Deposit,113,IRL
0,No Deposit,129,PRT
1,No Deposit,84,PRT
1,No Deposit,89,PRT
1,No Deposit,10,PRT
1,No Deposit,80,PRT
1,No Deposit,10,PRT
1,No Deposit,24,PRT
0,No Deposit,1,PRT
1,No Deposit,9,PRT
1,No Deposit,3,PRT
0,No Deposit,3,ESP
1,No Deposit,124,PRT
1,No Deposit,74,PRT
1,No Deposit,82,PRT
1,No Deposit,91,PRT
1,No Deposit,77,PRT
1,No Deposit,130,PRT
1,No Deposit,91,PRT
0,No Deposit,79,PRT
1,No Deposit,130,PRT
0,No Deposit,66,PRT
1,No Deposit,53,PRT
1,No Deposit,80,PRT
1,No Deposit,77,PRT
1,No Deposit,57,PRT
0,No Deposit,11,PRT
1,No Deposit,25,PRT
1,No Deposit,2,PRT
1,No Deposit,36,PRT
0,No Deposit,115,PRT
0,No Deposit,95,PRT
0,No Deposit,67,PRT
0,No Deposit,60,PRT
0,No Deposit,34,ESP
0,No Deposit,78,IRL
0,No Deposit,93,PRT
1,No Deposit,327,PRT
0,No Deposit,0,PRT
1,No Deposit,47,PRT
1,No Deposit,81,PRT
1,No Deposit,52,PRT
1,No Deposit,13,PRT
0,No Deposit,83,IRL
1,No Deposit,131,PRT
0,No Deposit,460,GBR
1,No Deposit,82,PRT
1,No Deposit,61,PRT
0,No Deposit,0,PRT
1,No Deposit,36,PRT
1,No Deposit,61,PRT
0,No Deposit,13,PRT
0,No Deposit,13,PRT
1,No Deposit,15,PRT
0,No Deposit,14,ESP
1,No Deposit,13,PRT
0,No Deposit,140,ESP
0,No Deposit,6,ESP
0,No Deposit,140,PRT
0,No Deposit,81,rare
1,No Deposit,0,PRT
0,No Deposit,2,ESP
0,No Deposit,0,PRT
1,No Deposit,114,PRT
1,No Deposit,111,PRT
0,No Deposit,44,ESP
0,No Deposit,139,PRT
1,No Deposit,57,PRT
1,No Deposit,16,PRT
0,No Deposit,139,PRT
0,No Deposit,84,PRT
1,No Deposit,117,PRT
1,No Deposit,69,PRT
0,No Deposit,2,FRA
1,No Deposit,118,PRT
0,No Deposit,129,PRT
0,No Deposit,9,ESP
0,No Deposit,52,PRT
0,No Deposit,65,GBR
0,No Deposit,7,PRT
1,No Deposit,28,PRT
0,No Deposit,3,ROU
0,No Deposit,87,rare
0,No Deposit,51,ESP
0,No Deposit,136,IRL
0,No Deposit,1,PRT
1,No Deposit,49,PRT
0,No Deposit,4,rare
1,No Deposit,45,PRT
0,No Deposit,6,PRT
0,No Deposit,4,GBR
1,No Deposit,53,PRT
0,No Deposit,52,PRT
1,No Deposit,4,PRT
0,No Deposit,98,PRT
1,No Deposit,46,PRT
1,No Deposit,122,PRT
0,No Deposit,83,ESP
0,No Deposit,16,IRL
1,No Deposit,43,PRT
1,No Deposit,73,PRT
0,No Deposit,116,PRT
1,No Deposit,113,PRT
0,No Deposit,51,PRT
0,No Deposit,65,rare
0,No Deposit,0,rare
1,No Deposit,87,PRT
1,No Deposit,106,PRT
0,No Deposit,5,CHE
0,No Deposit,98,ESP
1,No Deposit,78,PRT
0,No Deposit,4,PRT
0,No Deposit,5,USA
0,No Deposit,3,ESP
0,No Deposit,85,FRA
1,No Deposit,137,PRT
1,No Deposit,67,PRT
1,No Deposit,54,PRT
1,No Deposit,87,PRT
1,No Deposit,54,PRT
0,No Deposit,12,PRT
1,No Deposit,60,PRT
0,No Deposit,75,PRT
1,No Deposit,54,PRT
0,No Deposit,126,PRT
1,No Deposit,84,PRT
1,No Deposit,106,PRT
0,No Deposit,136,IRL
0,No Deposit,98,PRT
1,No Deposit,91,PRT
1,No Deposit,58,PRT
0,No Deposit,61,FRA
0,No Deposit,0,PRT
0,No Deposit,5,PRT
0,No Deposit,2,PRT
1,No Deposit,9,PRT
1,No Deposit,10,PRT
0,No Deposit,62,FRA
0,No Deposit,34,USA
0,No Deposit,82,rare
1,No Deposit,65,PRT
1,No Deposit,129,PRT
0,No Deposit,55,rare
1,No Deposit,122,PRT
1,No Deposit,41,PRT
1,No Deposit,41,PRT
0,No Deposit,81,ESP
0,No Deposit,59,GBR
0,No Deposit,72,PRT
1,No Deposit,68,PRT
0,No Deposit,81,GBR
1,No Deposit,72,PRT
0,No Deposit,68,GBR
1,No Deposit,127,PRT
1,No Deposit,127,PRT
0,No Deposit,68,PRT
1,No Deposit,47,PRT
0,No Deposit,19,rare
1,No Deposit,72,PRT
0,No Deposit,30,USA
1,No Deposit,139,PRT
0,No Deposit,112,ESP
1,No Deposit,63,PRT
0,No Deposit,35,ESP
1,No Deposit,75,PRT
0,No Deposit,136,PRT
0,No Deposit,35,PRT
1,No Deposit,63,PRT
1,No Deposit,77,PRT
0,No Deposit,62,PRT
1,No Deposit,95,PRT
1,No Deposit,101,PRT
1,No Deposit,38,PRT
1,No Deposit,60,PRT
0,No Deposit,76,IRL
1,No Deposit,87,PRT
1,No Deposit,31,PRT
1,No Deposit,74,PRT
1,No Deposit,120,PRT
1,No Deposit,120,PRT
1,No Deposit,116,PRT
1,No Deposit,83,PRT
0,No Deposit,80,IRL
1,No Deposit,27,PRT
1,No Deposit,78,PRT
1,No Deposit,117,PRT
0,No Deposit,70,PRT
1,No Deposit,85,PRT
1,No Deposit,22,PRT
1,No Deposit,34,PRT
0,No Deposit,68,rare
1,No Deposit,69,PRT
1,No Deposit,85,PRT
1,No Deposit,102,PRT
0,No Deposit,31,PRT
0,No Deposit,49,PRT
0,No Deposit,84,IRL
1,No Deposit,102,PRT
0,No Deposit,66,GBR
1,No Deposit,80,PRT
1,No Deposit,85,PRT
1,No Deposit,33,PRT
1,No Deposit,1,PRT
0,No Deposit,33,PRT
0,No Deposit,47,FRA
1,No Deposit,2,PRT
1,No Deposit,22,PRT
1,No Deposit,55,PRT
1,No Deposit,68,PRT
1,No Deposit,128,PRT
0,No Deposit,128,FRA
0,No Deposit,78,PRT
1,No Deposit,85,PRT
0,No Deposit,0,FRA
0,No Deposit,9,rare
0,No Deposit,1,IRL
1,No Deposit,9,PRT
1,No Deposit,120,PRT
1,No Deposit,72,PRT
0,No Deposit,23,ESP
1,No Deposit,8,PRT
0,No Deposit,47,rare
0,No Deposit,135,ESP
0,No Deposit,76,GBR
1,No Deposit,15,PRT
